요약,이슈 키,이슈 ID,이슈 유형,상태,프로젝트 키,프로젝트 이름,프로젝트 유형,프로젝트 리더,프로젝트 리더 ID,프로젝트 설명,우선 순위,해결,담당자,담당자 ID,보고자,보고자 ID,작성자,작성자 ID,만듦,업데이트,최근에 봄,해결됨,기한,투표,레이블,설명,환경,지켜보는 사람,관찰자 ID,최초 추정치,남은 추정치,사용한 시간,작업율,초기 추정의 합,Σ 남은 추정치,할애한 시간의 합,보안 등급,사용자정의 필드 (Team),사용자정의 필드 (development),사용자정의 필드 (순위),사용자정의 필드 (시작 날짜),사용자정의 필드 (이슈 색상),사용자정의 필드 (취약성),상위 항목,상위 키,Parent summary,상태 범주,상태 범주 변경됨
프로젝트 목록/생성 UI 구현,WF-206,10690,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,High,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:10 오후,14/7월/26 9:10 오후,,,28/12월/25 12:00 오전,0,P0;frontend;project;owner-박상준,"프로젝트 목록, 생성 모달, 마감일/유형/설명 입력 UI를 구현한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000an:,,,,10677,WF-193,FS-1 인증/프로젝트/RBAC,해야 할 일,14/7월/26 9:10 오후
프로젝트 CRUD 및 초대 API 구현,WF-207,10691,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:10 오후,14/7월/26 9:10 오후,,,28/12월/25 12:00 오전,0,P0;backend;project;owner-박상준,"프로젝트 생성/조회/수정, 초대 발급/수락 API를 구현한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000av:,,,,10677,WF-193,FS-1 인증/프로젝트/RBAC,해야 할 일,14/7월/26 9:10 오후
프로젝트별 RBAC 라우트/API 가드 구현,WF-208,10692,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:10 오후,14/7월/26 9:10 오후,,,28/12월/25 12:00 오전,0,P0;rbac;security;owner-박상준,project_members.role 기반으로 팀장/팀원/심사자 접근을 제어한다. 부담당 고무서.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000b3:,,,,10677,WF-193,FS-1 인증/프로젝트/RBAC,해야 할 일,14/7월/26 9:10 오후
역할별 마이페이지 셸을 제공한다,WF-209,10693,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Medium,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:10 오후,14/7월/26 9:10 오후,,,28/12월/25 12:00 오전,0,P0;mypage;rbac;owner-박상준,팀장/팀원/심사자 개인 화면 레이아웃과 권한별 위젯 노출을 구현한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000bb:,,,,10677,WF-193,FS-1 인증/프로젝트/RBAC,해야 할 일,14/7월/26 9:10 오후
"/me, /me/tasks 기본 API 구현",WF-210,10694,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Medium,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:10 오후,14/7월/26 9:10 오후,,,28/12월/25 12:00 오전,0,P0;api;mypage;owner-박상준,로그인 사용자 정보와 내 업무 조회 API를 구현한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000bj:,,,,10677,WF-193,FS-1 인증/프로젝트/RBAC,해야 할 일,14/7월/26 9:11 오후
역할별 마이페이지 라우트/위젯 구현,WF-211,10695,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Medium,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,14/7월/26 9:11 오후,,,28/12월/25 12:00 오전,0,P0;frontend;mypage;owner-박상준,역할에 따라 다른 위젯 구성을 표시한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000br:,,,,10677,WF-193,FS-1 인증/프로젝트/RBAC,해야 할 일,14/7월/26 9:11 오후
회의록 문서 업로드와 상태 조회를 제공한다,WF-212,10696,스토리,완료,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,완료,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 2:01 오후,,15/7월/26 2:01 오후,28/12월/25 12:00 오전,0,P0;meeting;upload;owner-박지수,회의록 파일을 업로드하고 텍스트 추출/분석 진행 상태를 확인한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000bz:,,,,10678,WF-194,FS-2 회의록 AI/To-Do,완료,15/7월/26 2:01 오후
회의록 업로드 화면 구현,WF-213,10697,작업,완료,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,완료,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 2:01 오후,,15/7월/26 2:01 오후,28/12월/25 12:00 오전,0,P0;frontend;meeting;owner-박지수,"문서 업로드, 참석자 선택 UI를 구현한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000c7:,,,,10678,WF-194,FS-2 회의록 AI/To-Do,완료,15/7월/26 2:01 오후
회의록 업로드 API 및 메타데이터 저장 구현,WF-214,10698,작업,완료,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,완료,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 2:01 오후,,15/7월/26 2:01 오후,28/12월/25 12:00 오전,0,P0;backend;meeting;owner-박지수,meetings 테이블에 파일과 참석자 정보를 저장한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000cf:,,,,10678,WF-194,FS-2 회의록 AI/To-Do,완료,15/7월/26 2:01 오후
LLM 회의 분석 결과를 구조화한다,WF-215,10699,스토리,진행 중,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 2:02 오후,,,28/12월/25 12:00 오전,0,P0;llm;meeting-analysis;owner-박지수,"회의록 텍스트에서 요약, 결정사항, 위험요소, To-Do 후보를 JSON으로 생성한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000cn:,,,,10678,WF-194,FS-2 회의록 AI/To-Do,진행 중,15/7월/26 2:02 오후
/ai/meeting/analyze 엔드포인트 구현,WF-216,10700,작업,진행 중,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 2:02 오후,,,28/12월/25 12:00 오전,0,P0;ai;llm;owner-박지수,"summary, decisions, risks, action_items 구조로 반환한다. 부담당 고무서(LLM).",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000cv:,,,,10678,WF-194,FS-2 회의록 AI/To-Do,진행 중,15/7월/26 2:02 오후
회의 분석 결과 화면 구현,WF-217,10701,작업,완료,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,완료,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 2:01 오후,,15/7월/26 2:01 오후,28/12월/25 12:00 오전,0,P0;frontend;meeting;owner-박지수,"요약, 결정사항, 위험요소, To-Do 후보 리스트를 표시한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000d3:,,,,10678,WF-194,FS-2 회의록 AI/To-Do,완료,15/7월/26 2:01 오후
분석 상태 폴링 및 오류 처리 구현,WF-218,10702,작업,진행 중,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,High,,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 2:02 오후,,,28/12월/25 12:00 오전,0,P0;async;meeting;owner-박지수,jobId 기반 분석 중/완료/실패 상태를 처리한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000db:,,,,10678,WF-194,FS-2 회의록 AI/To-Do,진행 중,15/7월/26 2:02 오후
To-Do 후보를 검토 후 업무로 승인한다,WF-219,10703,스토리,완료,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,완료,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 2:01 오후,,15/7월/26 2:01 오후,28/12월/25 12:00 오전,0,P0;todo;task;owner-박지수,"담당자가 명확한 업무는 자동 배정, 미배정 업무는 팀장이 수정 후 보드에 등록한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000dj:,,,,10678,WF-194,FS-2 회의록 AI/To-Do,완료,15/7월/26 2:01 오후
To-Do 후보 검토/수정 UI 구현,WF-220,10704,작업,완료,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,완료,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 2:01 오후,,15/7월/26 2:01 오후,28/12월/25 12:00 오전,0,P0;frontend;todo;owner-박지수,"담당자, 마감일, 우선순위 수정 후 승인 UI를 구현한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000dr:,,,,10678,WF-194,FS-2 회의록 AI/To-Do,완료,15/7월/26 2:01 오후
To-Do 승인 API 구현,WF-221,10705,작업,완료,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,완료,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 2:01 오후,,15/7월/26 2:01 오후,28/12월/25 12:00 오전,0,P0;backend;todo;owner-박지수,선택된 후보를 tasks 테이블에 생성한다. 부담당 유소은(보드 연동).,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000dz:,,,,10678,WF-194,FS-2 회의록 AI/To-Do,완료,15/7월/26 2:01 오후
프로젝트 대시보드 기본 집계를 제공한다,WF-222,10706,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,유소은,712020:46584f29-35a8-435b-925e-689c4ceeb2ac,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 10:18 오전,,,28/12월/25 12:00 오전,0,P0;dashboard;aggregation;owner-허영주,"전체 진행률, D-day, 마감 임박 업무, 최근 활동을 표시한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000e7:,,,,10679,WF-195,FS-3 대시보드/지연 위험도,해야 할 일,14/7월/26 9:11 오후
대시보드 카드/차트 UI 구현,WF-223,10707,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,유소은,712020:46584f29-35a8-435b-925e-689c4ceeb2ac,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 10:18 오전,,,28/12월/25 12:00 오전,0,P0;frontend;dashboard;owner-허영주,"전체 진행률, D-day, 마감 임박, 최근 활동 카드와 차트를 구현한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000ef:,,,,10679,WF-195,FS-3 대시보드/지연 위험도,해야 할 일,14/7월/26 9:11 오후
dashboard summary/workload API 구현,WF-224,10708,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,유소은,712020:46584f29-35a8-435b-925e-689c4ceeb2ac,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 10:18 오전,,,28/12월/25 12:00 오전,0,P0;backend;dashboard;owner-허영주,업무 상태와 멤버별 집계를 반환한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000en:,,,,10679,WF-195,FS-3 대시보드/지연 위험도,해야 할 일,14/7월/26 9:11 오후
activities 이벤트 로그 저장 구현,WF-225,10709,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,High,,유소은,712020:46584f29-35a8-435b-925e-689c4ceeb2ac,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 10:18 오전,,,28/12월/25 12:00 오전,0,P0;db;activity;owner-허영주,"업무 변경, 회의록 분석 등 최근 활동을 저장한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000ev:,,,,10679,WF-195,FS-3 대시보드/지연 위험도,해야 할 일,14/7월/26 9:11 오후
ML 지연 위험도 예측을 제공한다,WF-226,10710,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,유소은,712020:46584f29-35a8-435b-925e-689c4ceeb2ac,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 10:18 오전,,,28/12월/25 12:00 오전,0,P0;ml;delay-risk;owner-허영주,"업무 상태, 마감일, 진행률 기반으로 정상/주의/위험을 예측한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000f3:,,,,10679,WF-195,FS-3 대시보드/지연 위험도,해야 할 일,14/7월/26 9:11 오후
지연 위험도 baseline 모델 구현,WF-227,10711,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,유소은,712020:46584f29-35a8-435b-925e-689c4ceeb2ac,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 10:18 오전,,,28/12월/25 12:00 오전,0,P0;ai;ml;owner-허영주,scikit-learn/LightGBM baseline으로 위험 등급과 score를 반환한다. 부담당 이은주(모델).,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000fb:,,,,10679,WF-195,FS-3 대시보드/지연 위험도,해야 할 일,14/7월/26 9:11 오후
/ai/predict/delay 연동 및 예측 저장 구현,WF-228,10712,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,High,,유소은,712020:46584f29-35a8-435b-925e-689c4ceeb2ac,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 10:18 오전,,,28/12월/25 12:00 오전,0,P0;backend;ml;owner-허영주,예측 결과를 ml_predictions에 저장하고 조회 API로 제공한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000fj:,,,,10679,WF-195,FS-3 대시보드/지연 위험도,해야 할 일,14/7월/26 9:11 오후
업무 상세/대시보드 위험도 표시 구현,WF-229,10713,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,High,,유소은,712020:46584f29-35a8-435b-925e-689c4ceeb2ac,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 10:18 오전,,,28/12월/25 12:00 오전,0,P0;frontend;ml;owner-허영주,예측 등급과 score를 대시보드와 업무 상세에 표시한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000fr:,,,,10679,WF-195,FS-3 대시보드/지연 위험도,해야 할 일,14/7월/26 9:11 오후
팀원별 업무량을 표시한다,WF-230,10714,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,High,,유소은,712020:46584f29-35a8-435b-925e-689c4ceeb2ac,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 10:18 오전,,,28/12월/25 12:00 오전,0,P0;dashboard;overload;owner-허영주,"팀원별 업무 수, 완료율, 업무 편중 점수를 차트로 표시한다. 점수 모델은 FS-5 제공.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000fz:,,,,10679,WF-195,FS-3 대시보드/지연 위험도,해야 할 일,14/7월/26 9:11 오후
팀원별 업무량 차트/과부하 표시 구현,WF-231,10715,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,High,,유소은,712020:46584f29-35a8-435b-925e-689c4ceeb2ac,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 10:18 오전,,,28/12월/25 12:00 오전,0,P0;frontend;dashboard;owner-허영주,"멤버별 업무 수, 완료율, 과부하 점수를 차트로 표시한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000g7:,,,,10679,WF-195,FS-3 대시보드/지연 위험도,해야 할 일,14/7월/26 9:11 오후
프로젝트 문서를 RAG 인덱싱한다,WF-232,10716,스토리,진행 중,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 2:06 오후,,,28/12월/25 12:00 오전,0,P0;rag;embedding;owner-고무서,"회의록, To-Do, 업무 데이터를 chunk로 저장하고 embedding을 생성한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000gf:,,,,10680,WF-196,FS-4 AI Assistant/RAG,진행 중,15/7월/26 2:06 오후
document_chunks 및 pgvector 스키마 구현,WF-233,10717,작업,진행 중,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,High,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 2:07 오후,,,28/12월/25 12:00 오전,0,P0;db;rag;owner-고무서,source_type/source_id/content/embedding 구조로 chunk를 저장한다. 부담당 이은주.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000gn:,,,,10680,WF-196,FS-4 AI Assistant/RAG,진행 중,15/7월/26 2:07 오후
/ai/rag/index 엔드포인트 구현,WF-234,10718,작업,진행 중,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 2:07 오후,,,28/12월/25 12:00 오전,0,P0;ai;rag;owner-고무서,새 문서와 업무 데이터를 chunking하고 embedding 후 저장한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000gv:,,,,10680,WF-196,FS-4 AI Assistant/RAG,진행 중,15/7월/26 2:07 오후
출처 포함 프로젝트 Q&A를 제공한다,WF-235,10719,스토리,진행 중,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 2:07 오후,,,28/12월/25 12:00 오전,0,P0;assistant;qa;owner-고무서,사용자 질문에 프로젝트 근거를 검색해 답변하고 출처를 함께 표시한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000h3:,,,,10680,WF-196,FS-4 AI Assistant/RAG,진행 중,15/7월/26 2:07 오후
Assistant 채팅 UI 구현,WF-236,10720,작업,진행 중,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 2:07 오후,,,28/12월/25 12:00 오전,0,P0;frontend;assistant;owner-고무서,"질문 입력, 답변 표시, 출처 뱃지, 대화 히스토리 UI를 구현한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000hb:,,,,10680,WF-196,FS-4 AI Assistant/RAG,진행 중,15/7월/26 2:07 오후
/assistant/ask API와 권한 필터 구현,WF-237,10721,작업,진행 중,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 2:07 오후,,,28/12월/25 12:00 오전,0,P0;backend;assistant;owner-고무서,프로젝트 역할에 맞는 데이터만 검색하도록 권한 필터를 적용한다. 부담당 박지수.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000hj:,,,,10680,WF-196,FS-4 AI Assistant/RAG,진행 중,15/7월/26 2:07 오후
